Temps,T1,T2,T3,T4,T5,Pression,Force,Temps_Magna_Power,Voltage_Magna_Power,Courant_Magna_Power
0,23.5,23.53,23.36,23.57,19.28,81.74,323.93,2,17.2,0.31
0.2,23.51,23.63,23.55,23.69,19.37,81.74,324.96,2,49.6,1.14
0.4,23.53,23.64,23.55,23.69,19.33,81.74,324.81,3,49.6,1.14
0.6,23.55,23.6,23.6,23.74,19.28,81.74,325.55,3,68,1.7
0.8,23.61,23.55,23.69,23.91,19.27,81.75,326.07,3,68,2.22
1,23.68,23.58,23.82,24.09,19.28,81.75,326.31,4,72.4,2.22
1.2,23.75,23.67,23.89,24.26,19.26,81.74,326.57,4,66,1.96
1.4,24.17,24.08,24.19,24.72,19.3,81.74,326.96,4,66,1.96
1.6,24.47,24.28,24.49,25.06,19.26,81.75,327.89,4,64.4,2.07
1.8,24.83,24.58,24.75,25.67,19.24,81.75,328.19,4,64.4,2.07
2,25.32,25.04,25.17,26.29,19.25,81.75,329.29,5,61.7,2.09
2.2,25.94,25.66,25.6,26.99,19.26,81.75,329.89,5,61.7,2.18
2.4,26.68,26.32,26.2,27.83,19.29,81.75,330.45,5,59.6,2.18
2.6,27.31,27.04,26.66,28.64,19.27,81.74,331.16,5,58.6,2.25
2.8,28.01,27.85,27.29,29.47,19.26,81.75,331.85,5,58.6,2.25
3,28.76,28.79,27.9,30.42,19.26,81.75,332.39,5,57.8,2.29
3.2,29.59,29.78,28.5,31.4,19.26,81.75,333.11,6,57.8,2.29
3.4,30.53,30.98,29.27,32.49,19.34,81.74,334.9,6,57.2,2.29
3.6,31.39,32.02,29.98,33.55,19.31,81.74,334.72,6,57.2,2.31
3.8,32.34,33.16,30.73,34.67,19.28,81.73,335.71,6,57.1,2.31
4,33.29,34.32,31.5,35.77,19.27,81.75,336.15,6,57,2.33
4.2,34.25,35.55,32.21,36.89,19.28,81.74,336.96,7,57,2.33
4.4,35.3,36.95,33.11,38.13,19.37,81.72,338.24,7,56.9,2.33
4.6,36.16,38.16,33.84,39.28,19.31,81.72,338.79,7,56.9,2.33
4.8,37.12,39.47,34.65,40.45,19.28,81.74,339.72,7,56.8,2.33
5,38.08,40.7,35.41,41.61,19.28,81.75,340.27,7,56.8,2.33
5.2,39.04,41.91,36.16,42.79,19.27,81.75,340.6,8,56.4,2.33
5.4,40.1,43.29,37.03,44.2,19.36,81.73,341.15,8,56.4,2.33
5.6,40.92,44.4,37.7,45.2,19.29,81.74,341.32,8,56.2,2.33
5.8,41.86,45.57,38.51,46.37,19.26,81.75,341.54,8,56.1,2.33
6,42.82,46.7,39.32,47.57,19.25,81.75,342.18,8,56.1,2.33
6.2,43.77,47.84,40.1,48.78,19.24,81.76,342.65,8,56,2.33
6.4,44.78,48.94,40.84,50.07,19.27,81.74,343.28,9,56,2.35
6.6,45.7,49.98,41.66,51.27,19.25,81.74,343.35,9,56.1,2.35
6.8,46.66,51.04,42.48,52.51,19.24,81.75,343.54,9,56.1,2.35
7,47.57,52.09,43.21,53.71,19.24,81.73,343.82,10,56,2.35
7.2,48.53,53.21,43.97,54.94,19.25,81.74,343.97,10,55.9,2.33
7.4,49.58,54.39,44.88,56.25,19.29,81.74,343.68,10,55.9,2.33
7.6,50.42,55.42,45.54,57.44,19.28,81.73,343.99,10,56,2.35
7.8,51.29,56.57,46.31,58.64,19.27,81.73,344.42,10,56,2.35
8,52.16,57.62,47.08,59.8,19.25,81.74,344.42,11,55.9,2.35
8.2,53.04,58.72,47.84,61.01,19.26,81.75,344.56,11,55.9,2.35
8.4,53.95,59.89,48.59,62.26,19.28,81.75,344.69,11,55.9,2.35
8.6,54.83,60.92,49.35,63.46,19.27,81.75,345,11,55.7,2.35
8.8,55.66,62.01,50.14,64.66,19.26,81.76,345.23,11,55.7,2.35
9,56.5,63.03,50.88,65.86,19.26,81.75,345.3,11,55.8,2.35
9.2,57.39,64.18,51.61,67.1,19.26,81.73,344.43,12,55.8,2.35
9.4,58.42,65.41,52.56,68.45,19.35,81.72,345.32,12,55.9,2.35
9.6,59.33,66.58,53.33,69.68,19.42,81.72,345.14,12,55.9,2.35
9.8,60.15,67.6,54.1,70.87,19.38,81.71,344.4,12,55.8,2.35
10,60.89,68.62,54.87,72.01,19.37,81.72,344.92,12,55.6,2.35
10.2,61.73,69.63,55.55,73.09,19.38,81.74,344.6,13,55.6,2.35
10.4,62.56,70.69,56.2,74.23,19.42,81.74,344.48,13,55.5,2.35
10.6,63.17,71.51,56.73,75.04,19.29,81.73,344.13,13,55.5,2.35
10.8,63.84,72.39,57.3,76,19.27,81.75,343.74,13,55.6,2.36
11,64.6,73.32,58,77.03,19.26,81.73,343.57,13,55.6,2.36
11.2,65.34,74.29,58.75,78.07,19.25,81.72,343.2,14,55.5,2.36
