Power_density,clamping_distance,time,Temperature
260,1.28,0,21.4447769428249
260,1.28,50,312.276751880832
260,1.28,100,332.350095207631
260,1.28,150,344.868238193243
260,1.28,200,353.683766895654
260,1.28,250,360.874125032519
260,1.28,300,366.741379166726
260,1.28,350,370.984306084873
260,1.28,400,375.227233003019
260,1.28,450,378.888941389167
260,1.28,500,381.864890253079
260,1.28,550,384.840839116991
260,1.28,600,387.660337286388
260,1.28,650,390.143091054475
260,1.28,700,392.272363564222
260,1.28,750,394.221129557298
260,1.28,800,395.819295985853
260,1.28,850,397.572251632494
260,1.28,900,399.206995826249
260,1.28,950,400.438628976285
260,1.28,1000,401.670262126322
260,1.28,1050,402.901895276358
260,1.28,1100,404.133528426394
260,1.28,1150,405.365161576431
260,1.28,1200,406.421327078274
260,1.28,1250,407.331312756374
260,1.28,1300,408.241298434475
260,1.28,1350,409.151284112575
260,1.28,1400,410.061269790676
260,1.28,1450,410.971255468776
260,1.28,1500,411.770278930615
260,1.28,1550,412.551881087629
260,1.28,1600,413.329288803013
260,1.28,1650,413.933835925264
260,1.28,1700,414.538383047515
260,1.28,1750,415.142930169766
260,1.28,1800,415.747477292017
260,1.28,1850,416.352024414269
260,1.28,1900,416.931216209748
260,1.28,1950,417.46172558301
260,1.28,2000,417.992234956272
260,1.28,2050,418.467263699355
260,1.28,2100,418.887193466308
260,1.28,2150,419.307123233262
260,1.28,2200,419.727053000215
260,1.28,2250,420.146982767169
260,1.28,2300,420.566912534122
260,1.28,2350,420.872955534836
260,1.28,2400,421.154105128419
260,1.28,2450,421.435254722002
260,1.28,2500,421.716404315584
260,1.28,2550,421.997553909167
260,1.28,2600,422.27870350275
260,1.28,2650,422.559853096332
260,1.28,2700,422.841002689915
260,1.28,2750,423.122152283497
260,1.28,2800,423.40330187708
260,1.28,2850,423.684451470663
260,1.28,2900,423.922736258288
260,1.28,2950,424.110330662733
260,1.28,3000,424.297925067178
260,1.28,3050,424.485519471624
260,1.28,3100,424.673113876069
260,1.28,3150,424.860708280514
260,1.28,3200,425.048302684959
260,1.28,3250,425.235897089404
260,1.28,3300,425.423491493849
260,1.28,3350,425.611085898294
260,1.28,3400,425.798680302739
260,1.28,3450,425.986274707184
260,1.28,3500,426.146098408858
260,1.28,3550,426.273081472783
260,1.28,3600,426.400064536708
260,1.28,3650,426.527047600632
260,1.28,3700,426.654030664557
260,1.28,3750,426.781013728481
260,1.28,3800,426.907996792406
260,1.28,3850,427.034979856331
260,1.28,3900,427.161962920255
260,1.28,3950,427.28894598418
260,1.28,4000,427.415929048104
260,1.28,4050,427.542912112029
260,1.28,4100,427.651022381654
260,1.28,4150,427.736814361172
260,1.28,4200,427.82260634069
260,1.28,4250,427.908398320208
260,1.28,4300,427.994190299726
260,1.28,4350,428.079982279243
260,1.28,4400,428.165774258761
260,1.28,4450,428.251566238279
260,1.28,4500,428.337358217797
260,1.28,4550,428.423150197315
260,1.28,4600,428.508942176833
260,1.28,4650,428.594734156351
260,1.28,4700,428.675541834999
260,1.28,4750,428.749181969247
260,1.28,4800,428.821075691204
260,1.28,4850,428.891223000872
260,1.28,4900,428.959623898249
260,1.28,4950,429.026278383337
260,1.28,5000,429.091186456134
260,1.28,5050,429.154348116642
260,1.28,5100,429.215763364859
260,1.28,5150,429.275432200786
260,1.28,5200,429.333354624424
260,1.28,5250,429.389530635771
260,1.28,5300,429.444053647959
260,1.28,5350,429.496964578181
260,1.28,5400,429.548161826449
260,1.28,5450,429.597645392762
260,1.28,5500,429.64541527712
