Temps,T1,T2,T3,T4,T5,Pression,Force,Temps_Magna_Power,Voltage_Magna_Power,Courant_Magna_Power
0,27,27.29,26.96,27.24,19.23,81.75,322,2,23.4,0.18
0.2,27.02,27.31,26.98,27.23,19.21,81.76,322.62,2,52.6,0.99
0.4,26.86,27.26,26.95,27.24,19.22,81.75,323.07,3,52.6,0.99
0.6,26.83,27.26,26.95,27.23,19.2,81.75,324,3,64.1,1.63
0.8,26.9,27.27,26.93,27.23,19.13,81.75,324.9,3,64.1,1.81
1,27.06,27.29,26.99,27.23,19.12,81.75,325.16,4,69,1.81
1.2,27.25,27.29,27.18,27.33,19.16,81.75,325.44,4,69,1.67
1.4,27.4,27.37,27.39,27.5,19.16,81.76,325.59,4,62.1,1.67
1.6,27.62,27.71,27.62,27.8,19.18,81.76,326,4,61.1,1.63
1.8,28.05,28.01,27.8,28.03,19.17,81.76,326.13,4,61.1,1.63
2,28.39,28.34,28.14,28.3,19.16,81.76,326.67,4,61.2,1.63
2.2,28.9,28.82,28.51,28.75,19.16,81.76,327.43,5,61.2,1.63
2.4,29.4,29.27,28.8,29.02,19.18,81.76,327.73,5,60,1.65
2.6,29.97,29.81,29.31,29.55,19.19,81.76,328.39,5,60,1.67
2.8,30.57,30.38,29.66,29.91,19.19,81.76,328.86,5,59.9,1.67
3,31.08,30.97,30.2,30.47,19.19,81.76,329.24,5,59.7,1.69
3.2,31.83,31.68,30.79,31.09,19.22,81.76,329.56,6,59.7,1.69
3.4,32.55,32.41,31.28,31.66,19.23,81.75,330.27,6,59.7,1.69
3.6,33.33,33.15,31.87,32.31,19.28,81.75,330.72,6,59.7,1.69
3.8,33.91,33.82,32.29,32.82,19.25,81.76,331.35,6,59.7,1.67
4,34.63,34.53,32.84,33.44,19.26,81.76,332.2,6,59.7,1.67
4.2,35.46,35.36,33.45,34.26,19.3,81.76,332.6,7,59.7,1.67
4.4,35.98,36.07,33.96,34.82,19.27,81.76,333.35,7,59.3,1.69
4.6,36.67,36.85,34.42,35.46,19.27,81.76,333.29,7,59.3,1.69
4.8,37.43,37.63,34.98,36.18,19.25,81.76,333.99,7,59.2,1.69
5,38.17,38.41,35.43,36.87,19.24,81.75,334.05,7,59.2,1.69
5.2,38.78,39.19,36.01,37.5,19.24,81.75,334.5,7,59.5,1.69
5.4,39.64,40.16,36.64,38.37,19.29,81.76,335.15,8,59.5,1.7
5.6,40.34,40.99,37.14,39.1,19.29,81.76,335.38,8,58.6,1.7
5.8,40.9,41.75,37.66,39.73,19.27,81.76,335.94,8,58.6,1.7
6,41.57,42.55,38.1,40.44,19.24,81.76,336.39,9,57.7,1.7
6.2,42.26,43.42,38.7,41.14,19.24,81.75,336.96,9,57.8,1.74
6.4,42.92,44.23,39.13,41.87,19.23,81.75,336.73,9,57.8,1.74
6.6,43.67,45.2,39.77,42.67,19.25,81.76,337.12,9,57.8,1.74
6.8,44.29,45.97,40.14,43.26,19.23,81.76,337.21,9,57.8,1.74
7,44.91,46.87,40.72,43.96,19.22,81.76,337.51,10,56.5,1.74
7.2,45.48,47.76,41.15,44.66,19.21,81.76,337.85,10,56.5,1.78
7.4,46.25,48.83,41.77,45.48,19.26,81.75,337.79,10,56.1,1.78
7.6,46.96,49.75,42.37,46.27,19.27,81.75,338.09,10,55.6,1.78
7.8,47.49,50.6,42.77,46.9,19.23,81.75,338.34,10,55.6,1.78
8,48.13,51.47,43.14,47.67,19.14,81.75,338.63,10,55.5,1.8
8.2,48.91,52.51,43.71,48.46,19.19,81.75,338.83,11,55.5,1.81
8.4,49.58,53.44,44.09,49.22,19.23,81.75,338.29,11,55.2,1.81
8.6,50.21,54.41,44.65,50.02,19.26,81.75,338.32,11,55.2,1.81
8.8,50.86,55.31,45.16,50.79,19.26,81.76,337.88,11,54.9,1.81
9,51.47,56.26,45.67,51.59,19.23,81.76,338.11,11,54.9,1.81
9.2,52.06,57.11,46.08,52.35,19.2,81.76,338.72,12,54.9,1.81
9.4,52.7,58.06,46.58,53.08,19.17,81.76,339.3,12,54.8,1.83
9.6,53.41,59.1,47.16,53.89,19.21,81.75,339.31,12,54.8,1.83
9.8,53.98,59.97,47.59,54.61,19.21,81.76,339.53,12,54.3,1.83
10,54.63,60.91,47.99,55.4,19.19,81.76,339.85,12,54.3,1.83
10.2,55.18,61.77,48.48,56.21,19.19,81.76,340.26,13,54.4,1.83
10.4,55.83,62.72,48.95,57,19.17,81.76,340.38,13,54.1,1.85
10.6,56.42,63.63,49.48,57.81,19.17,81.76,340.8,13,54.1,1.85
10.8,56.97,64.55,49.96,58.56,19.19,81.76,341.25,13,53.8,1.83
11,57.62,65.45,50.43,59.34,19.13,81.76,341.65,13,53.8,1.83
11.2,58.15,66.34,50.81,60.15,19.09,81.76,341.85,14,54.2,1.85
11.4,58.74,67.29,51.35,60.94,19.14,81.75,341.21,14,54.2,1.85
11.6,59.51,68.42,51.98,61.9,19.21,81.76,341.5,14,53.9,1.85
11.8,60.05,69.32,52.39,62.6,19.2,81.76,341.73,14,53.8,1.85
12,60.63,70.16,52.83,63.39,19.2,81.76,342.05,15,53.8,1.85
12.2,61.18,71.07,53.31,64.21,19.17,81.76,342.16,15,53.7,1.85
