Temps,T1,T2,T3,T4,T5,Pression,Force,Temps_Magna_Power,Voltage_Magna_Power,Courant_Magna_Power
0,20.99,21.5,21.13,21.48,18.36,82.6,325.2,2,27.1,0.27
0.2,20.99,21.51,21.11,21.48,18.36,82.6,325.62,2,27.1,1.06
0.4,21,21.53,21.11,21.47,18.34,82.6,326.18,3,46.6,1.06
0.6,20.99,21.53,21.11,21.47,18.35,82.6,327.25,3,46.6,1.8
0.8,21.06,21.53,21.14,21.48,18.34,82.6,327.98,3,66.6,1.8
1,21.18,21.57,21.2,21.5,18.34,82.6,328.48,3,70.4,2.07
1.2,21.42,21.61,21.4,21.61,18.34,82.6,329.23,4,70.4,2.07
1.4,21.62,21.94,21.67,21.98,18.33,82.6,329.94,4,59.3,1.87
1.6,21.87,22.3,21.9,22.25,18.33,82.6,330.62,4,59.3,2.03
1.8,22.31,22.81,22.24,22.55,18.38,82.6,331.23,4,57,2.03
2,22.72,23.5,22.69,23.05,18.38,82.6,332.13,4,57,2.13
2.2,23.26,24.24,23.14,23.54,18.35,82.6,332.59,5,55.4,2.13
2.4,23.87,25.16,23.62,24.04,18.37,82.61,332.98,5,54.3,2.16
2.6,24.45,26.17,24.21,24.71,18.39,82.64,333.63,5,54.3,2.16
2.8,25.1,27.29,24.68,25.34,18.4,82.62,333.73,5,53.7,2.16
3,25.78,28.57,25.33,26.01,18.39,82.63,334.29,5,53.7,2.2
3.2,26.5,29.89,25.9,26.72,18.39,82.64,334.58,6,53.4,2.2
3.4,27.17,31.27,26.47,27.47,18.4,82.62,334.93,6,53.4,2.2
3.6,27.88,32.67,27.15,28.19,18.42,82.61,335.58,6,53.3,2.2
3.8,28.68,34.2,27.8,28.93,18.42,82.6,336.07,6,52.9,2.2
4,29.45,35.71,28.37,29.71,18.44,82.6,336.71,6,52.9,2.2
4.2,30.13,37.27,29.09,30.52,18.41,82.6,337.55,6,52.9,2.22
4.4,30.93,38.87,29.72,31.36,18.4,82.6,338.29,7,52.9,2.22
4.6,31.73,40.43,30.37,32.22,18.37,82.6,338.65,7,52.7,2.22
4.8,32.55,41.97,31.07,33.06,18.38,82.6,338.99,7,52.7,2.22
5,33.39,43.62,31.72,33.93,18.4,82.6,339.24,7,52.5,2.22
5.2,34.16,45.24,32.35,34.75,18.39,82.6,339.85,7,52.5,2.24
5.4,34.96,46.86,33.04,35.59,18.39,82.6,340.42,8,52.5,2.24
5.6,35.71,48.47,33.79,36.45,18.37,82.6,341,8,52.2,2.24
5.8,36.51,50.07,34.44,37.32,18.37,82.6,341.48,8,52.2,2.24
6,37.35,51.72,35.09,38.19,18.38,82.6,341.93,8,52,2.24
6.2,38.21,53.29,35.79,39.11,18.35,82.6,342.16,8,52,2.24
6.4,38.93,54.79,36.41,39.97,18.37,82.6,342.61,9,52.1,2.24
6.6,39.71,56.37,37.02,40.87,18.37,82.6,342.79,9,52,2.24
6.8,40.45,57.8,37.75,41.75,18.35,82.6,343.38,9,52,2.24
7,41.22,59.29,38.37,42.61,18.38,82.6,344.07,9,51.7,2.24
7.2,41.96,60.68,39.04,43.48,18.35,82.6,344.59,10,51.7,2.24
7.4,42.69,62.1,39.72,44.28,18.36,82.6,345.37,10,51.8,2.24
7.6,43.41,63.52,40.41,45.14,18.37,82.6,345.79,10,51.8,2.25
7.8,44.12,64.99,40.95,46.01,18.36,82.6,346.04,10,51.7,2.25
8,44.84,66.3,41.6,46.86,18.35,82.6,346.39,10,51.7,2.25
8.2,45.57,67.57,42.2,47.73,18.34,82.6,347.04,11,51.7,2.25
8.4,46.25,68.79,42.76,48.59,18.34,82.6,347.64,11,51.9,2.25
8.6,46.96,69.86,43.41,49.43,18.35,82.6,348.18,11,51.9,2.25
8.8,47.65,70.94,43.94,50.25,18.34,82.6,349.13,11,51.7,2.24
9,48.46,72.02,44.59,51.14,18.37,82.6,349.34,11,51.7,2.24
9.2,49.14,73,45.29,52.07,18.37,82.6,349.93,12,51.6,2.24
9.4,49.9,73.95,45.92,52.92,18.4,82.6,349.99,12,51.7,2.25
9.6,50.66,74.8,46.53,53.73,18.42,82.6,350.35,12,51.7,2.25
9.8,51.28,75.62,47.14,54.56,18.45,82.6,350.62,12,51.6,2.25
10,51.94,76.43,47.68,55.4,18.52,82.6,351.06,12,51.6,2.25
10.2,52.63,77.13,48.33,56.25,18.5,82.6,351.17,13,51.5,2.25
